Name,TeamAbbrev
Allisha Gray,ATL
Jordin Canada,ATL
Te-Hina Paopao,ATL
Isobel Borlase,ATL
Indya Nivar,ATL
Kejia Ran,ATL
Aaliyah Nye,ATL
Angel Reese,ATL
Rhyne Howard,ATL
Naz Hillmon,ATL
Sika Kone,ATL
Brionna Jones,ATL
Madina Okot,ATL
Skylar Diggins,CHI
Natasha Cloud,CHI
Courtney Vandersloot,CHI
DiJonai Carrington,CHI
Jacy Sheldon,CHI
Gabriela Jaquez,CHI
Rachel Banham,CHI
Aicha Coulibaly,CHI
Sydney Taylor,CHI
Rickea Jackson,CHI
Azura Stevens,CHI
Maddy Westbeld,CHI
Kamilla Cardoso,CHI
Elizabeth Williams,CHI
Leila Lacan,CON
Saniya Rivers,CON
Shey Peddy,CON
Charlisse Leger-Walker,CON
Hailey Van Lith,CON
Gianna Kneepkens,CON
Ashlon Jackson,CON
Aneesah Morrow,CON
Aaliyah Edwards,CON
Kennedy Burke,CON
Diamond Miller,CON
Nell Angloma,CON
Brittney Griner,CON
Olivia Nelson-Ododa,CON
Raegan Beers,CON
Paige Bueckers,DAL
Arike Ogunbowale,DAL
Odyssey Sims,DAL
Azzi Fudd,DAL
Aziaha James,DAL
JJ Quinerly,DAL
Lou Lopez Senechal,DAL
Alanna Smith,DAL
Maddy Siegrist,DAL
Alysha Clark,DAL
Dulcy Fankam Mendjiadeu,DAL
Jessica Shepard,DAL
Li Yueru,DAL
Awak Kuier,DAL
Veronica Burton,GSV
Tiffany Hayes,GSV
Kaila Charles,GSV
Cecilia Zandalasini,GSV
Kaitlyn Chen,GSV
Juste Jocyte,GSV
Miela Sowah,GSV
Ndjakalenga Mwenentanda,GSV
Gabby Williams,GSV
Kayla Thornton,GSV
Laeticia Amihere,GSV
Ashten Prechtel,GSV
Janelle Salaun,GSV
Kiah Stokes,GSV
Iliana Rupert,GSV
Caitlin Clark,IND
Kelsey Mitchell,IND
Lexie Hull,IND
Raven Johnson,IND
Tyasha Harris,IND
Shatori Walker-Kimbrough,IND
Justine Pissott,IND
Bree Hall,IND
Sophie Cunningham,IND
Myisha Hines-Allen,IND
Monique Billings,IND
Makayla Timpson,IND
Aliyah Boston,IND
Damiris Dantas,IND
Chelsea Gray,LAV
Jewell Loyd,LAV
Chennedy Carter,LAV
Kierstan Bell,LAV
Dana Evans,LAV
Jackie Young,LAV
NaLyssa Smith,LAV
Stephanie Talbot,LAV
Cheyenne Parker-Tyus,LAV
Brianna Turner,LAV
Janiah Barker,LAV
A'ja Wilson,LAV
Kelsey Plum,LAS
Ariel Atkins,LAS
Rae Burrell,LAS
Erica Wheeler,LAS
Chance Gray,LAS
Ta'Niya Latson,LAS
Kate Martin,LAS
Dearica Hamby,LAS
Sania Feagin,LAS
Emma Cannon,LAS
Laura Ziegler,LAS
Jihyun Park,LAS
Nneka Ogwumike,LAS
Cameron Brink,LAS
Kayla McBride,MIN
Courtney Williams,MIN
Olivia Miles,MIN
Antonia Delaere,MIN
Maya Caldwell,MIN
Eliska Hamzova,MIN
Natasha Howard,MIN
Nia Coffey,MIN
Emma Cechova,MIN
Dorka Juhasz,MIN
Anastasiia Kosu,MIN
Napheesa Collier,MIN
Emese Hof,MIN
Sabrina Ionescu,NYL
Betnijah Laney-Hamilton,NYL
Marine Johannes,NYL
Pauline Astier,NYL
Rebekah Gardner,NYL
Julie Vanloo,NYL
Marine Fauthoux,NYL
Aubrey Griffin,NYL
Breanna Stewart,NYL
Satou Sabally,NYL
Leonie Fiebich,NYL
Rebecca Allen,NYL
Manuela Puoch,NYL
Seehia Ridard,NYL
Annika Soltau,NYL
Jonquel Jones,NYL
Han Xu,NYL
Raquel Carrera,NYL
Kahleah Copper,PHX
Sami Whitcomb,PHX
Monique Akoa Makani,PHX
Jovana Nogic,PHX
Kiana Williams,PHX
Quionche Carter,PHX
Shay Ciezki,PHX
Alyssa Thomas,PHX
DeWanna Bonner,PHX
Valeriane Ayayi,PHX
Noemie Brochant,PHX
Anneli Maley,PHX
Marta Suarez,PHX
Kathryn Westbeld,PHX
Natasha Mack,PHX
Kyara Linskens,PHX
Carla Leite,PDX
Sarah Ashlee Barker,PDX
Sug Sutton,PDX
Karlie Samuelson,PDX
Haley Jones,PDX
Kamiah Smalls,PDX
Teja Oblak,PDX
Nika Muhl,PDX
Iyana Martin,PDX
Bridget Carleton,PDX
Emily Engstler,PDX
Nyadiew Puoch,PDX
Frieda Buhner,PDX
Luisa Geiselsoder,PDX
Megan Gustafson,PDX
Serah Williams,PDX
Natisha Hiedeman,SEA
Flau'jae Johnson,SEA
Lexie Brown,SEA
Jade Melbourne,SEA
Zia Cooke,SEA
Taina Mair,SEA
Ezi Magbegor,SEA
Jordan Horston,SEA
Awa Fam,SEA
Mackenzie Holmes,SEA
Katie Lou Samuelson,SEA
Grace VanSlooten,SEA
Dominique Malonga,SEA
Stefanie Dolson,SEA
Marina Mabrey,TOR
Brittney Sykes,TOR
Julie Allemand,TOR
Kiki Rice,TOR
Kia Nurse,TOR
Lexi Held,TOR
Nyara Sabally,TOR
Isabelle Harrison,TOR
Maria Conde,TOR
Laura Juskaite,TOR
Teonni Key,TOR
Saffron Shiels,TOR
Charlise Dunn,TOR
Temi Fagbenle,TOR
Maria Kliundikova,TOR
Adja Kane,TOR
