Name,TeamAbbrev,min
Breanna Stewart,NYL,35.0
Dominique Malonga,SEA,30.0
Jonquel Jones,NYL,34.0
Shakira Austin,WAS,28.0
Natisha Hiedeman,SEA,30.0
Kiki Iriafen,WAS,32.0
Aneesah Morrow,CON,33.0
Marina Mabrey,TOR,33.0
Brittney Sykes,TOR,33.0
Sonia Citron,WAS,32.0
Veronica Burton,GSV,30.0
Temi Fagbenle,TOR,30.0
Saniya Rivers,CON,33.0
Flau'jae Johnson,SEA,25.0
Brittney Griner,CON,31.0
Gabby Williams,GSV,30.0
Betnijah Laney-Hamilton,NYL,32.0
Lauren Betts,WAS,26.0
Tiffany Hayes,GSV,30.0
Marine Johannes,NYL,32.0
Kayla Thornton,GSV,25.0
Julie Allemand,TOR,30.0
Olivia Nelson-Ododa,CON,26.0
Janelle Salaun,GSV,26.0
Stefanie Dolson,SEA,25.0
Kennedy Burke,CON,26.0
Rebekah Gardner,NYL,27.0
Georgia Amoore,WAS,25.0
Kia Nurse,TOR,25.0
Angela Dugalic,WAS,19.0
Kiki Rice,TOR,16.0
Kaila Charles,GSV,19.0
Diamond Miller,CON,22.0
Michaela Onyenwere,WAS,23.0
Jordan Horston,SEA,15.0
Jade Melbourne,SEA,20.0
Gianna Kneepkens,CON,14.0
Han Xu,NYL,15.0
Cecilia Zandalasini,GSV,16.0
Pauline Astier,NYL,15.0
Nyara Sabally,TOR,12.0
Kiah Stokes,GSV,16.0
Lexie Brown,SEA,15.0
Katie Lou Samuelson,SEA,10.0
Alexa Held,TOR,12.0
Manuela Puoch,NYL,10.0
Laeticia Amihere,GSV,8.0
Mackenzie Holmes,SEA,10.0
Hailey Van Lith,CON,10.0
Charlisse Leger-Walker,CON,5.0
Maria Conde,TOR,3.0
Teonni Key,TOR,3.0
Laura Juskaite,TOR,3.0
Awa Fam,SEA,0.0
Sabrina Ionescu,NYL,0.0
Cotie McMahon,WAS,0.0
Marine Fauthoux,NYL,0.0
Miela Sowah,GSV,0.0
Rori Harmon,WAS,0.0
Cassandre Prosper,WAS,0.0
Ashlon Jackson,CON,0.0
Taina Mair,SEA,0.0
Darianna Littlepage-Buggs,WAS,0.0
Alex Wilson,WAS,0.0
Juste Jocyte,GSV,0.0
Annika Soltau,NYL,0.0
Aaliyah Edwards,CON,0.0
Satou Sabally,NYL,0.0
Isabelle Harrison,TOR,0.0
Raquel Carrera,NYL,0.0
Iliana Rupert,GSV,0.0
Zia Cooke,SEA,0.0
Leonie Fiebich,NYL,0.0
Shey Peddy,CON,0.0
Seehia Ridard,NYL,0.0
Lucy Olsen,WAS,0.0
Kaitlyn Chen,GSV,0.0
Ezi Magbegor,SEA,0.0
Rebecca Allen,NYL,0.0
Leila Lacan,CON,0.0
Raegan Beers,CON,0.0
Nell Angloma,CON,0.0
Grace VanSlooten,SEA,0.0
